State,District,Season,forecast_T_Avg,forecast_R_Total,T_Avg_anomaly_z,R_Total_anomaly_z,Climate_Label,method_T_Avg,method_R_Total,history_years,status
Andhra Pradesh,Guntur,Summer,31.656,250.94,-0.149,0.663,Normal,prophet,prophet,27,ok
Andhra Pradesh,Guntur,Whole Year,27.859,1159.14,-0.436,0.311,Normal,prophet,prophet,26,ok
Andhra Pradesh,Guntur,Winter,24.302,115.07,-0.501,0.171,Normal,prophet,prophet,26,ok
Andhra Pradesh,Hyderabad,Autumn,25.527,392.6,-0.269,0.005,Normal,prophet,prophet,26,ok
Andhra Pradesh,Hyderabad,Kharif,26.984,589.02,-0.016,-0.093,Normal,prophet,prophet,26,ok
Andhra Pradesh,Hyderabad,Rabi,25.619,132.47,-0.121,0.279,Normal,prophet,prophet,26,ok
Andhra Pradesh,Hyderabad,Summer,31.056,190.69,-0.66,0.274,Normal,prophet,prophet,27,ok
Andhra Pradesh,Hyderabad,Whole Year,27.197,754.54,-0.71,0.192,Normal,prophet,prophet,26,ok
Andhra Pradesh,Hyderabad,Winter,24.372,35.95,-0.209,0.214,Normal,prophet,prophet,26,ok
Andhra Pradesh,Krishna,Autumn,28.179,599.86,0.559,0.014,Normal,prophet,prophet,26,ok
Andhra Pradesh,Krishna,Kharif,29.074,988.97,0.648,0.124,Normal,prophet,prophet,26,ok
Andhra Pradesh,Krishna,Rabi,26.589,263.78,-0.313,-0.001,Normal,prophet,prophet,26,ok
Andhra Pradesh,Krishna,Summer,29.886,312.38,0.507,0.852,Normal,prophet,prophet,27,ok
Andhra Pradesh,Krishna,Whole Year,28.188,1235.04,0.572,0.247,Normal,prophet,prophet,26,ok
Andhra Pradesh,Krishna,Winter,25.723,105.4,-0.577,0.106,Normal,prophet,prophet,26,ok
Andhra Pradesh,Kurnool,Autumn,25.527,392.6,-0.269,0.005,Normal,prophet,prophet,26,ok
Andhra Pradesh,Kurnool,Kharif,26.984,589.02,-0.016,-0.093,Normal,prophet,prophet,26,ok
Andhra Pradesh,Kurnool,Rabi,25.619,132.47,-0.121,0.279,Normal,prophet,prophet,26,ok
Andhra Pradesh,Kurnool,Summer,31.056,190.69,-0.66,0.274,Normal,prophet,prophet,27,ok
Andhra Pradesh,Kurnool,Whole Year,27.197,754.54,-0.71,0.192,Normal,prophet,prophet,26,ok
Andhra Pradesh,Kurnool,Winter,24.372,35.95,-0.209,0.214,Normal,prophet,prophet,26,ok
Andhra Pradesh,Prakasam,Autumn,27.835,598.22,-0.255,0.212,Normal,prophet,prophet,26,ok
Andhra Pradesh,Prakasam,Kharif,29.304,717.26,-0.01,0.244,Normal,prophet,prophet,26,ok
Andhra Pradesh,Prakasam,Rabi,25.985,443.43,-0.843,0.652,Normal,prophet,prophet,26,ok
Andhra Pradesh,Prakasam,Summer,30.763,212.84,-0.5,0.783,Normal,prophet,prophet,27,ok
Andhra Pradesh,Prakasam,Whole Year,28.161,1120.69,-0.752,0.846,Normal,prophet,prophet,26,ok
Andhra Pradesh,Prakasam,Winter,24.845,206.64,-1.025,0.216,Cooler than normal,prophet,prophet,26,ok
Andhra Pradesh,Sri Potti Sriramulu Nellore,Autumn,28.424,701.19,0.058,0.183,Normal,prophet,prophet,26,ok
Andhra Pradesh,Sri Potti Sriramulu Nellore,Kharif,29.797,644.48,0.143,0.284,Normal,prophet,prophet,26,ok
Andhra Pradesh,Sri Potti Sriramulu Nellore,Rabi,25.918,775.07,-0.839,0.762,Normal,prophet,prophet,26,ok
Andhra Pradesh,Sri Potti Sriramulu Nellore,Summer,30.552,153.7,-0.434,0.347,Normal,prophet,prophet,27,ok
Andhra Pradesh,Sri Potti Sriramulu Nellore,Whole Year,28.283,1291.54,-0.537,0.807,Normal,prophet,prophet,26,ok
Andhra Pradesh,Sri Potti Sriramulu Nellore,Winter,24.823,484.17,-1.075,0.354,Cooler than normal,prophet,prophet,26,ok
Andhra Pradesh,Srikakulam,Autumn,26.197,784.83,0.322,0.368,Normal,prophet,prophet,26,ok
Andhra Pradesh,Srikakulam,Kharif,28.142,1185.22,0.999,0.532,Normal,prophet,prophet,26,ok
Andhra Pradesh,Srikakulam,Rabi,24.304,300.36,0.011,0.296,Normal,prophet,prophet,26,ok
Andhra Pradesh,Srikakulam,Summer,30.689,323.52,0.609,0.388,Normal,prophet,prophet,27,ok
Andhra Pradesh,Srikakulam,Whole Year,27.03,1437.94,0.611,0.656,Normal,prophet,prophet,26,ok
Andhra Pradesh,Srikakulam,Winter,22.638,79.87,-0.089,0.056,Normal,prophet,prophet,26,ok
Andhra Pradesh,Visakhapatnam,Autumn,27.516,768.89,0.705,0.348,Normal,prophet,prophet,26,ok
Andhra Pradesh,Visakhapatnam,Kharif,28.706,1177.77,1.444,0.451,Hotter than normal,prophet,prophet,26,ok
Andhra Pradesh,Visakhapatnam,Rabi,25.564,315.3,-0.093,0.321,Normal,prophet,prophet,26,ok
Andhra Pradesh,Visakhapatnam,Summer,29.776,303.57,0.72,-0.14,Normal,prophet,prophet,27,ok
Andhra Pradesh,Visakhapatnam,Whole Year,27.597,1467.16,1.057,0.758,Hotter than normal,prophet,prophet,26,ok
Andhra Pradesh,Visakhapatnam,Winter,24.361,115.38,-0.245,0.2,Normal,prophet,prophet,26,ok
Andhra Pradesh,Vizianagaram,Autumn,25.278,804.89,0.602,0.38,Normal,prophet,prophet,26,ok
Andhra Pradesh,Vizianagaram,Kharif,27.06,1237.8,1.069,0.451,Hotter than normal,prophet,prophet,26,ok
Andhra Pradesh,Vizianagaram,Rabi,23.444,300.71,-0.139,0.29,Normal,prophet,prophet,26,ok
Andhra Pradesh,Vizianagaram,Summer,29.728,320.41,0.65,0.007,Normal,prophet,prophet,27,ok
Andhra Pradesh,Vizianagaram,Whole Year,26.028,1513.92,0.451,0.837,Normal,prophet,prophet,26,ok
Andhra Pradesh,Vizianagaram,Winter,21.815,88.3,-0.301,0.101,Normal,prophet,prophet,26,ok
Andhra Pradesh,West Godavari,Autumn,27.48,677.92,0.759,0.144,Normal,prophet,prophet,26,ok
Andhra Pradesh,West Godavari,Kharif,28.555,1107.83,0.714,0.302,Normal,prophet,prophet,26,ok
Andhra Pradesh,West Godavari,Rabi,25.975,318.28,-0.449,0.178,Normal,prophet,prophet,26,ok
Andhra Pradesh,West Godavari,Summer,30.349,300.71,0.279,0.47,Normal,prophet,prophet,27,ok
Andhra Pradesh,West Godavari,Whole Year,27.844,1364.95,0.36,0.403,Normal,prophet,prophet,26,ok
Andhra Pradesh,West Godavari,Winter,24.903,144.19,-0.582,0.32,Normal,prophet,prophet,26,ok
Andhra Pradesh,Ysr Kadapa,Autumn,26.682,502.73,-0.078,0.167,Normal,prophet,prophet,26,ok
Andhra Pradesh,Ysr Kadapa,Kharif,28.183,545.87,0.114,0.037,Normal,prophet,prophet,26,ok
Andhra Pradesh,Ysr Kadapa,Rabi,24.967,349.51,-0.548,0.302,Normal,prophet,prophet,26,ok
Andhra Pradesh,Ysr Kadapa,Summer,30.866,197.81,-0.792,0.305,Normal,prophet,prophet,27,ok
Andhra Pradesh,Ysr Kadapa,Whole Year,27.43,866.66,-0.581,0.26,Normal,prophet,prophet,26,ok
Andhra Pradesh,Ysr Kadapa,Winter,23.45,222.31,-0.637,0.408,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Anjaw,Autumn,12.811,531.19,1.032,-0.287,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Anjaw,Kharif,15.295,1134.18,1.819,-0.15,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Anjaw,Rabi,6.062,368.11,0.436,0.445,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Anjaw,Summer,11.29,778.78,1.109,0.104,Hotter than normal,prophet,prophet,27,ok
Arunachal Pradesh,Anjaw,Whole Year,10.298,1682.94,1.434,-0.131,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Anjaw,Winter,4.358,102.69,0.161,0.101,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Changlang,Autumn,22.718,861.4,0.465,0.25,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Changlang,Kharif,24.93,1722.07,1.598,-0.134,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Changlang,Rabi,17.04,443.19,-0.397,0.506,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Changlang,Summer,22.224,1207.93,-0.655,0.442,Normal,prophet,prophet,27,ok
