State,District,Season,forecast_T_Avg,forecast_R_Total,T_Avg_anomaly_z,R_Total_anomaly_z,Climate_Label,method_T_Avg,method_R_Total,history_years,status
Chhattisgarh,Janjgir-Champa,Rabi,20.787,137.75,-0.464,0.184,Normal,prophet,prophet,26,ok
Chhattisgarh,Janjgir-Champa,Summer,31.894,299.2,0.256,0.005,Normal,prophet,prophet,27,ok
Chhattisgarh,Janjgir-Champa,Whole Year,25.227,1500.62,-0.831,0.533,Normal,prophet,prophet,26,ok
Chhattisgarh,Janjgir-Champa,Winter,18.335,53.26,-0.606,0.046,Normal,prophet,prophet,26,ok
Chhattisgarh,Jashpur,Autumn,22.156,711.29,-0.418,0.179,Normal,prophet,prophet,26,ok
Chhattisgarh,Jashpur,Kharif,25.515,1268.91,0.279,0.26,Normal,prophet,prophet,26,ok
Chhattisgarh,Jashpur,Rabi,18.263,165.64,-0.322,0.21,Normal,prophet,prophet,26,ok
Chhattisgarh,Jashpur,Summer,28.65,270.76,0.244,-0.1,Normal,prophet,prophet,27,ok
Chhattisgarh,Jashpur,Whole Year,22.83,1421.34,-0.52,0.287,Normal,prophet,prophet,26,ok
Chhattisgarh,Jashpur,Winter,15.943,44.39,-0.421,0.031,Normal,prophet,prophet,26,ok
Chhattisgarh,Kabirdham,Autumn,23.599,712.39,-0.864,0.423,Normal,prophet,prophet,26,ok
Chhattisgarh,Kabirdham,Kharif,26.832,1288.79,-0.046,0.566,Normal,prophet,prophet,26,ok
Chhattisgarh,Kabirdham,Rabi,21.283,133.51,-0.296,0.177,Normal,prophet,prophet,26,ok
Chhattisgarh,Kabirdham,Summer,31.754,301.64,0.387,0.015,Normal,prophet,prophet,27,ok
Chhattisgarh,Kabirdham,Whole Year,25.249,1488.65,-0.499,0.551,Normal,prophet,prophet,26,ok
Chhattisgarh,Kabirdham,Winter,18.996,53.08,-0.533,0.036,Normal,prophet,prophet,26,ok
Chhattisgarh,Kanker,Autumn,23.781,785.89,-0.115,0.371,Normal,prophet,prophet,26,ok
Chhattisgarh,Kanker,Kharif,26.736,1389.53,0.726,0.284,Normal,prophet,prophet,26,ok
Chhattisgarh,Kanker,Rabi,21.212,110.58,-0.356,-0.116,Normal,prophet,prophet,26,ok
Chhattisgarh,Kanker,Summer,31.382,291.23,0.394,0.003,Normal,prophet,prophet,27,ok
Chhattisgarh,Kanker,Whole Year,25.127,1583.04,-0.438,0.516,Normal,prophet,prophet,26,ok
Chhattisgarh,Kanker,Winter,18.825,39.47,-0.62,-0.052,Normal,prophet,prophet,26,ok
Chhattisgarh,Kondagaon,Autumn,22.853,732.94,0.125,-0.105,Normal,prophet,prophet,26,ok
Chhattisgarh,Kondagaon,Kharif,25.39,1241.94,0.975,-0.369,Normal,prophet,prophet,26,ok
Chhattisgarh,Kondagaon,Rabi,20.47,138.99,-0.189,-0.157,Normal,prophet,prophet,26,ok
Chhattisgarh,Kondagaon,Summer,29.179,325.2,0.246,0.094,Normal,prophet,prophet,27,ok
Chhattisgarh,Kondagaon,Whole Year,23.964,1494.49,-0.14,-0.112,Normal,prophet,prophet,26,ok
Chhattisgarh,Kondagaon,Winter,18.421,35.16,-0.187,-0.094,Normal,prophet,prophet,26,ok
Chhattisgarh,Korba,Autumn,23.807,705.88,-0.504,0.389,Normal,prophet,prophet,26,ok
Chhattisgarh,Korba,Kharif,27.094,1274.06,0.019,0.514,Normal,prophet,prophet,26,ok
Chhattisgarh,Korba,Rabi,20.389,139.38,-0.338,0.128,Normal,prophet,prophet,26,ok
Chhattisgarh,Korba,Summer,31.352,320.75,0.336,0.091,Normal,prophet,prophet,27,ok
Chhattisgarh,Korba,Whole Year,24.805,1459.5,-0.664,0.53,Normal,prophet,prophet,26,ok
Chhattisgarh,Korba,Winter,17.984,55.56,-0.477,0.062,Normal,prophet,prophet,26,ok
Chhattisgarh,Korea,Autumn,23.213,673.8,-0.617,0.346,Normal,prophet,prophet,26,ok
Chhattisgarh,Korea,Kharif,26.589,1227.75,-0.046,0.487,Normal,prophet,prophet,26,ok
Chhattisgarh,Korea,Rabi,20.143,132.88,-0.258,0.107,Normal,prophet,prophet,26,ok
Chhattisgarh,Korea,Summer,30.937,302.38,0.427,0.018,Normal,prophet,prophet,27,ok
Chhattisgarh,Korea,Whole Year,24.504,1401.47,-0.473,0.543,Normal,prophet,prophet,26,ok
Chhattisgarh,Korea,Winter,17.825,55.24,-0.389,0.128,Normal,prophet,prophet,26,ok
Chhattisgarh,Mahasamund,Autumn,24.088,796.5,-0.355,0.43,Normal,prophet,prophet,26,ok
Chhattisgarh,Mahasamund,Kharif,27.165,1381.42,0.404,0.373,Normal,prophet,prophet,26,ok
Chhattisgarh,Mahasamund,Rabi,21.132,117.29,-0.424,-0.047,Normal,prophet,prophet,26,ok
Chhattisgarh,Mahasamund,Summer,31.697,270.57,0.306,-0.067,Normal,prophet,prophet,27,ok
Chhattisgarh,Mahasamund,Whole Year,25.243,1570.86,-0.695,0.502,Normal,prophet,prophet,26,ok
Chhattisgarh,Mahasamund,Winter,18.792,44.9,-0.597,-0.016,Normal,prophet,prophet,26,ok
Chhattisgarh,Mungeli,Autumn,24.227,757.35,-0.673,0.491,Normal,prophet,prophet,26,ok
Chhattisgarh,Mungeli,Kharif,27.568,1346.01,0.085,0.723,Normal,prophet,prophet,26,ok
Chhattisgarh,Mungeli,Rabi,21.367,140.16,-0.338,0.187,Normal,prophet,prophet,26,ok
Chhattisgarh,Mungeli,Summer,32.4,302.61,0.383,0.036,Normal,prophet,prophet,27,ok
Chhattisgarh,Mungeli,Whole Year,25.666,1522.62,-0.531,0.647,Normal,prophet,prophet,26,ok
Chhattisgarh,Mungeli,Winter,18.968,51.66,-0.512,0.04,Normal,prophet,prophet,26,ok
Chhattisgarh,Narayanpur,Autumn,23.396,753.09,0.314,-0.028,Normal,prophet,prophet,26,ok
Chhattisgarh,Narayanpur,Kharif,25.618,1366.84,0.871,-0.141,Normal,prophet,prophet,26,ok
Chhattisgarh,Narayanpur,Rabi,21.817,123.42,0.079,-0.189,Normal,prophet,prophet,26,ok
Chhattisgarh,Narayanpur,Summer,29.789,344.38,0.291,0.21,Normal,prophet,prophet,27,ok
Chhattisgarh,Narayanpur,Whole Year,24.726,1621.24,-0.016,0.176,Normal,prophet,prophet,26,ok
Chhattisgarh,Narayanpur,Winter,19.827,31.55,-0.156,-0.122,Normal,prophet,prophet,26,ok
Chhattisgarh,Raigarh,Autumn,24.569,694.41,-0.487,0.147,Normal,prophet,prophet,26,ok
Chhattisgarh,Raigarh,Kharif,27.726,1255.67,0.129,0.337,Normal,prophet,prophet,26,ok
Chhattisgarh,Raigarh,Rabi,21.197,139.17,-0.303,0.147,Normal,prophet,prophet,26,ok
Chhattisgarh,Raigarh,Summer,31.762,272.28,0.211,-0.117,Normal,prophet,prophet,27,ok
Chhattisgarh,Raigarh,Whole Year,25.456,1423.26,-0.7,0.432,Normal,prophet,prophet,26,ok
Chhattisgarh,Raigarh,Winter,18.817,49.46,-0.435,0.056,Normal,prophet,prophet,26,ok
Chhattisgarh,Raipur,Autumn,24.234,777.1,-0.253,0.42,Normal,prophet,prophet,26,ok
Chhattisgarh,Raipur,Kharif,27.348,1328.65,0.361,0.261,Normal,prophet,prophet,26,ok
Chhattisgarh,Raipur,Rabi,21.19,117.24,-0.399,-0.054,Normal,prophet,prophet,26,ok
Chhattisgarh,Raipur,Summer,31.99,265.66,0.356,-0.072,Normal,prophet,prophet,27,ok
Chhattisgarh,Raipur,Whole Year,25.452,1525.21,-0.553,0.505,Normal,prophet,prophet,26,ok
Chhattisgarh,Raipur,Winter,18.779,43.69,-0.591,-0.018,Normal,prophet,prophet,26,ok
Chhattisgarh,Rajnandgaon,Autumn,24.01,722.76,-0.46,0.392,Normal,prophet,prophet,26,ok
Chhattisgarh,Rajnandgaon,Kharif,27.084,1435.96,0.483,1.008,Wetter than normal,prophet,prophet,26,ok
Chhattisgarh,Rajnandgaon,Rabi,21.928,103.72,-0.131,-0.061,Normal,prophet,prophet,26,ok
Chhattisgarh,Rajnandgaon,Summer,32.218,254.34,0.466,-0.089,Normal,prophet,prophet,27,ok
Chhattisgarh,Rajnandgaon,Whole Year,25.691,1599.22,-0.382,1.054,Wetter than normal,prophet,prophet,26,ok
Chhattisgarh,Rajnandgaon,Winter,19.433,40.4,-0.613,-0.039,Normal,prophet,prophet,26,ok
Chhattisgarh,Sukma,Autumn,24.659,771.45,0.37,0.091,Normal,prophet,prophet,26,ok
Chhattisgarh,Sukma,Kharif,26.53,1391.11,0.732,-0.058,Normal,prophet,prophet,26,ok
Chhattisgarh,Sukma,Rabi,23.544,149.8,0.19,-0.093,Normal,prophet,prophet,26,ok
Chhattisgarh,Sukma,Summer,30.792,347.77,0.318,0.068,Normal,prophet,prophet,27,ok
Chhattisgarh,Sukma,Whole Year,26.077,1650.0,0.272,0.275,Normal,prophet,prophet,26,ok
Chhattisgarh,Sukma,Winter,21.746,41.09,0.039,-0.007,Normal,prophet,prophet,26,ok
Chhattisgarh,Surajpur,Autumn,23.051,685.31,-0.593,0.336,Normal,prophet,prophet,26,ok
Chhattisgarh,Surajpur,Kharif,26.562,1201.96,0.025,0.39,Normal,prophet,prophet,26,ok
Chhattisgarh,Surajpur,Rabi,19.346,154.43,-0.371,0.319,Normal,prophet,prophet,26,ok
Chhattisgarh,Surajpur,Summer,30.462,242.76,0.436,-0.146,Normal,prophet,prophet,27,ok
Chhattisgarh,Surajpur,Whole Year,24.09,1348.02,-0.442,0.45,Normal,prophet,prophet,26,ok
Chhattisgarh,Surajpur,Winter,17.009,41.51,-0.43,-0.004,Normal,prophet,prophet,26,ok
Chhattisgarh,Surguja,Autumn,22.481,698.16,-0.482,0.197,Normal,prophet,prophet,26,ok
Chhattisgarh,Surguja,Kharif,25.812,1274.38,0.097,0.454,Normal,prophet,prophet,26,ok
Chhattisgarh,Surguja,Rabi,18.967,163.71,-0.293,0.289,Normal,prophet,prophet,26,ok
Chhattisgarh,Surguja,Summer,29.618,280.89,0.366,-0.075,Normal,prophet,prophet,27,ok
Chhattisgarh,Surguja,Whole Year,23.439,1435.82,-0.5,0.545,Normal,prophet,prophet,26,ok
Chhattisgarh,Surguja,Winter,16.615,51.73,-0.435,0.128,Normal,prophet,prophet,26,ok
Chhattisgarh,Vijayapura,Autumn,24.975,760.29,0.35,0.158,Normal,prophet,prophet,26,ok
Chhattisgarh,Vijayapura,Kharif,26.813,1509.59,0.616,0.438,Normal,prophet,prophet,26,ok
Chhattisgarh,Vijayapura,Rabi,24.223,119.28,0.359,-0.157,Normal,prophet,prophet,26,ok
Chhattisgarh,Vijayapura,Summer,31.485,327.57,0.3,0.208,Normal,prophet,prophet,27,ok
Chhattisgarh,Vijayapura,Whole Year,26.544,1687.76,0.048,0.585,Normal,prophet,prophet,26,ok
Chhattisgarh,Vijayapura,Winter,22.558,29.55,0.129,-0.092,Normal,prophet,prophet,26,ok
Delhi,Delhi,Autumn,25.065,463.01,-0.696,0.884,Normal,prophet,prophet,26,ok
Delhi,Delhi,Kharif,29.231,721.93,-1.026,0.318,Cooler than normal,prophet,prophet,26,ok
Delhi,Delhi,Rabi,19.009,117.28,0.121,0.229,Normal,prophet,prophet,26,ok
Delhi,Delhi,Summer,31.016,137.47,0.068,-0.096,Normal,prophet,prophet,27,ok
Delhi,Delhi,Whole Year,24.854,850.13,-0.986,0.402,Normal,prophet,prophet,26,ok
Delhi,Delhi,Winter,16.257,50.47,0.071,0.083,Normal,prophet,prophet,26,ok
Goa,Goa,Autumn,26.803,1195.75,-0.115,0.283,Normal,prophet,prophet,26,ok
Goa,Goa,Kharif,27.268,2973.12,0.42,0.477,Normal,prophet,prophet,26,ok
Goa,Goa,Rabi,27.339,332.3,0.304,0.409,Normal,prophet,prophet,26,ok
Goa,Goa,Summer,29.372,946.01,1.258,0.422,Hotter than normal,prophet,prophet,27,ok
Goa,Goa,Whole Year,27.782,3311.84,0.805,0.684,Normal,prophet,prophet,26,ok
Goa,Goa,Winter,26.826,53.6,-0.075,0.167,Normal,prophet,prophet,26,ok
Goa,North Goa,Autumn,26.803,1195.75,-0.115,0.283,Normal,prophet,prophet,26,ok
Goa,North Goa,Kharif,27.268,2973.12,0.42,0.477,Normal,prophet,prophet,26,ok
Goa,North Goa,Rabi,27.339,332.3,0.304,0.409,Normal,prophet,prophet,26,ok
Goa,North Goa,Summer,29.372,946.01,1.258,0.422,Hotter than normal,prophet,prophet,27,ok
Goa,North Goa,Whole Year,27.782,3311.84,0.805,0.684,Normal,prophet,prophet,26,ok
Goa,North Goa,Winter,26.826,53.6,-0.075,0.167,Normal,prophet,prophet,26,ok
Goa,South Goa,Autumn,26.803,1195.75,-0.115,0.283,Normal,prophet,prophet,26,ok
Goa,South Goa,Kharif,27.268,2973.12,0.42,0.477,Normal,prophet,prophet,26,ok
Goa,South Goa,Rabi,27.339,332.3,0.304,0.409,Normal,prophet,prophet,26,ok
Goa,South Goa,Summer,29.372,946.01,1.258,0.422,Hotter than normal,prophet,prophet,27,ok
Goa,South Goa,Whole Year,27.782,3311.84,0.805,0.684,Normal,prophet,prophet,26,ok
Goa,South Goa,Winter,26.826,53.6,-0.075,0.167,Normal,prophet,prophet,26,ok
Gujarat,Ahmedabad,Autumn,25.77,479.13,-1.147,0.273,Cooler than normal,prophet,prophet,26,ok
Gujarat,Ahmedabad,Kharif,28.421,857.8,-1.248,0.311,Cooler than normal,prophet,prophet,26,ok
Gujarat,Ahmedabad,Rabi,23.46,52.42,-0.309,0.481,Normal,prophet,prophet,26,ok
Gujarat,Ahmedabad,Summer,32.708,170.56,0.391,0.288,Normal,prophet,prophet,27,ok
Gujarat,Ahmedabad,Whole Year,26.997,913.92,-0.844,0.407,Normal,prophet,prophet,26,ok
Gujarat,Ahmedabad,Winter,21.182,12.3,-0.729,0.261,Normal,prophet,prophet,26,ok
Gujarat,Amreli,Autumn,25.444,491.46,-0.664,0.26,Normal,prophet,prophet,26,ok
Gujarat,Amreli,Kharif,27.636,900.53,-0.629,0.237,Normal,prophet,prophet,26,ok
Gujarat,Amreli,Rabi,24.033,91.7,-0.028,0.72,Normal,prophet,prophet,26,ok
Gujarat,Amreli,Summer,31.538,167.82,0.57,0.025,Normal,prophet,prophet,27,ok
Gujarat,Amreli,Whole Year,26.904,975.26,0.042,0.441,Normal,prophet,prophet,26,ok
Gujarat,Amreli,Winter,22.183,14.58,-0.251,0.229,Normal,prophet,prophet,26,ok
Gujarat,Anand,Autumn,25.926,512.02,-1.264,0.222,Cooler than normal,prophet,prophet,26,ok
Gujarat,Anand,Kharif,28.569,951.59,-1.034,0.29,Cooler than normal,prophet,prophet,26,ok
Gujarat,Anand,Rabi,23.517,70.15,-0.45,0.662,Normal,prophet,prophet,26,ok
Gujarat,Anand,Summer,32.509,192.29,0.473,0.172,Normal,prophet,prophet,27,ok
Gujarat,Anand,Whole Year,27.045,1016.58,-0.764,0.41,Normal,prophet,prophet,26,ok
Gujarat,Anand,Winter,21.276,13.75,-0.766,0.262,Normal,prophet,prophet,26,ok
Gujarat,Aravalli,Autumn,25.047,476.06,-1.293,0.288,Cooler than normal,prophet,prophet,26,ok
Gujarat,Aravalli,Kharif,27.758,833.27,-1.308,0.284,Cooler than normal,prophet,prophet,26,ok
Gujarat,Aravalli,Rabi,23.06,46.04,-0.216,0.317,Normal,prophet,prophet,26,ok
Gujarat,Aravalli,Summer,32.175,143.74,0.196,0.287,Normal,prophet,prophet,27,ok
Gujarat,Aravalli,Whole Year,26.483,928.39,-0.897,0.586,Normal,prophet,prophet,26,ok
Gujarat,Aravalli,Winter,21.007,13.51,-0.418,0.242,Normal,prophet,prophet,26,ok
Gujarat,Banaskantha,Autumn,25.12,532.13,-0.682,0.413,Normal,prophet,prophet,26,ok
Gujarat,Banaskantha,Kharif,27.673,927.27,-1.013,0.566,Cooler than normal,prophet,prophet,26,ok
Gujarat,Banaskantha,Rabi,22.367,56.46,0.353,0.507,Normal,prophet,prophet,26,ok
Gujarat,Banaskantha,Summer,31.164,135.55,0.168,0.174,Normal,prophet,prophet,27,ok
Gujarat,Banaskantha,Whole Year,25.952,977.35,-0.497,0.581,Normal,prophet,prophet,26,ok
Gujarat,Banaskantha,Winter,20.373,18.49,0.327,0.177,Normal,prophet,prophet,26,ok
Gujarat,Bharuch,Autumn,25.613,694.63,-1.019,0.133,Cooler than normal,prophet,prophet,26,ok
Gujarat,Bharuch,Kharif,27.794,1423.0,-0.373,0.286,Normal,prophet,prophet,26,ok
Gujarat,Bharuch,Rabi,24.814,88.14,-0.218,0.302,Normal,prophet,prophet,26,ok
Gujarat,Bharuch,Summer,31.909,214.38,0.952,-0.287,Normal,prophet,prophet,27,ok
Gujarat,Bharuch,Whole Year,27.265,1508.73,-0.224,0.429,Normal,prophet,prophet,26,ok
Gujarat,Bharuch,Winter,23.145,21.3,-0.473,0.112,Normal,prophet,prophet,26,ok
Gujarat,Bhavnagar,Autumn,26.194,481.39,-0.734,0.212,Normal,prophet,prophet,26,ok
Gujarat,Bhavnagar,Kharif,28.617,882.07,-0.677,0.198,Normal,prophet,prophet,26,ok
Gujarat,Bhavnagar,Rabi,24.002,73.01,-0.12,0.545,Normal,prophet,prophet,26,ok
Gujarat,Bhavnagar,Summer,32.664,180.25,0.414,0.006,Normal,prophet,prophet,27,ok
Gujarat,Bhavnagar,Whole Year,27.357,943.47,-0.341,0.295,Normal,prophet,prophet,26,ok
Gujarat,Bhavnagar,Winter,21.664,14.2,-0.609,0.272,Normal,prophet,prophet,26,ok
Gujarat,Botad,Autumn,26.194,481.39,-0.734,0.212,Normal,prophet,prophet,26,ok
Gujarat,Botad,Kharif,28.617,882.07,-0.677,0.198,Normal,prophet,prophet,26,ok
Gujarat,Botad,Rabi,24.002,73.01,-0.12,0.545,Normal,prophet,prophet,26,ok
Gujarat,Botad,Summer,32.664,180.25,0.414,0.006,Normal,prophet,prophet,27,ok
Gujarat,Botad,Whole Year,27.357,943.47,-0.341,0.295,Normal,prophet,prophet,26,ok
Gujarat,Botad,Winter,21.664,14.2,-0.609,0.272,Normal,prophet,prophet,26,ok
Gujarat,Chhota Udepur,Autumn,25.045,615.65,-1.172,0.254,Cooler than normal,prophet,prophet,26,ok
Gujarat,Chhota Udepur,Kharif,27.479,1136.98,-0.97,0.409,Normal,prophet,prophet,26,ok
Gujarat,Chhota Udepur,Rabi,23.836,78.02,-0.155,0.519,Normal,prophet,prophet,26,ok
Gujarat,Chhota Udepur,Summer,31.997,173.73,0.395,0.019,Normal,prophet,prophet,27,ok
Gujarat,Chhota Udepur,Whole Year,26.721,1228.53,-0.629,0.613,Normal,prophet,prophet,26,ok
Gujarat,Chhota Udepur,Winter,21.98,16.44,-0.426,0.287,Normal,prophet,prophet,26,ok
Gujarat,Dahod,Autumn,24.013,629.47,-1.121,0.418,Cooler than normal,prophet,prophet,26,ok
Gujarat,Dahod,Kharif,26.707,1081.71,-0.742,0.575,Normal,prophet,prophet,26,ok
Gujarat,Dahod,Rabi,22.337,74.67,-0.167,0.338,Normal,prophet,prophet,26,ok
Gujarat,Dahod,Summer,31.168,183.46,0.309,0.249,Normal,prophet,prophet,27,ok
Gujarat,Dahod,Whole Year,25.605,1179.81,-0.659,0.849,Normal,prophet,prophet,26,ok
Gujarat,Dahod,Winter,20.225,16.47,-0.565,0.206,Normal,prophet,prophet,26,ok
Gujarat,Dang,Autumn,24.176,680.98,-0.9,0.049,Normal,prophet,prophet,26,ok
Gujarat,Dang,Kharif,26.097,1409.94,-0.206,0.152,Normal,prophet,prophet,26,ok
Gujarat,Dang,Rabi,24.162,98.57,0.203,0.383,Normal,prophet,prophet,26,ok
Gujarat,Dang,Summer,30.381,202.75,0.959,-0.417,Normal,prophet,prophet,27,ok
Gujarat,Dang,Whole Year,26.08,1505.28,0.159,0.318,Normal,prophet,prophet,26,ok
Gujarat,Dang,Winter,22.78,27.17,-0.032,0.204,Normal,prophet,prophet,26,ok
Gujarat,Devbhumi Dwarka,Autumn,27.652,480.89,0.069,0.254,Normal,prophet,prophet,26,ok
Gujarat,Devbhumi Dwarka,Kharif,28.427,1326.42,-0.022,0.806,Normal,prophet,prophet,26,ok
Gujarat,Devbhumi Dwarka,Rabi,25.326,41.13,1.428,0.328,Hotter than normal,prophet,prophet,26,ok
Gujarat,Devbhumi Dwarka,Summer,28.062,140.29,1.105,0.08,Hotter than normal,prophet,prophet,27,ok
Gujarat,Devbhumi Dwarka,Whole Year,26.905,1317.19,1.603,0.749,Hotter than normal,prophet,prophet,26,ok
Gujarat,Devbhumi Dwarka,Winter,24.486,7.58,0.948,0.038,Normal,prophet,prophet,26,ok
Gujarat,Gandhinagar,Autumn,25.77,479.13,-1.147,0.273,Cooler than normal,prophet,prophet,26,ok
Gujarat,Gandhinagar,Kharif,28.421,857.8,-1.248,0.311,Cooler than normal,prophet,prophet,26,ok
Gujarat,Gandhinagar,Rabi,23.46,52.42,-0.309,0.481,Normal,prophet,prophet,26,ok
Gujarat,Gandhinagar,Summer,32.708,170.56,0.391,0.288,Normal,prophet,prophet,27,ok
Gujarat,Gandhinagar,Whole Year,26.997,913.92,-0.844,0.407,Normal,prophet,prophet,26,ok
Gujarat,Gandhinagar,Winter,21.182,12.3,-0.729,0.261,Normal,prophet,prophet,26,ok
Gujarat,Gir Somnath,Autumn,25.754,498.56,-0.727,0.221,Normal,prophet,prophet,26,ok
Gujarat,Gir Somnath,Kharif,27.464,1097.16,-0.434,0.865,Normal,prophet,prophet,26,ok
Gujarat,Gir Somnath,Rabi,24.153,102.16,-0.037,0.761,Normal,prophet,prophet,26,ok
Gujarat,Gir Somnath,Summer,29.94,166.63,1.288,0.036,Hotter than normal,prophet,prophet,27,ok
Gujarat,Gir Somnath,Whole Year,26.559,1153.25,0.503,0.935,Normal,prophet,prophet,26,ok
Gujarat,Gir Somnath,Winter,22.557,14.99,-0.369,0.167,Normal,prophet,prophet,26,ok
Gujarat,Jamnagar,Autumn,26.924,494.77,-0.636,0.357,Normal,prophet,prophet,26,ok
Gujarat,Jamnagar,Kharif,28.433,955.16,-1.262,0.496,Cooler than normal,prophet,prophet,26,ok
Gujarat,Jamnagar,Rabi,24.09,42.11,0.508,0.414,Normal,prophet,prophet,26,ok
Gujarat,Jamnagar,Summer,29.723,141.29,1.012,0.112,Hotter than normal,prophet,prophet,27,ok
Gujarat,Jamnagar,Whole Year,26.748,982.6,0.472,0.519,Normal,prophet,prophet,26,ok
Gujarat,Jamnagar,Winter,22.386,6.23,0.252,-0.097,Normal,prophet,prophet,26,ok
Gujarat,Junagadh,Autumn,25.357,523.22,-0.669,0.252,Normal,prophet,prophet,26,ok
Gujarat,Junagadh,Kharif,27.395,1087.12,-0.759,0.627,Normal,prophet,prophet,26,ok
Gujarat,Junagadh,Rabi,23.869,83.75,-0.042,0.679,Normal,prophet,prophet,26,ok
Gujarat,Junagadh,Summer,30.873,165.39,0.875,0.055,Normal,prophet,prophet,27,ok
Gujarat,Junagadh,Whole Year,26.681,1145.71,0.327,0.737,Normal,prophet,prophet,26,ok
Gujarat,Junagadh,Winter,22.128,12.5,-0.239,0.185,Normal,prophet,prophet,26,ok
Gujarat,Kheda,Autumn,25.287,488.62,-1.334,0.236,Cooler than normal,prophet,prophet,26,ok
Gujarat,Kheda,Kharif,28.047,871.17,-1.217,0.218,Cooler than normal,prophet,prophet,26,ok
Gujarat,Kheda,Rabi,23.328,55.04,-0.327,0.509,Normal,prophet,prophet,26,ok
Gujarat,Kheda,Summer,32.614,170.77,0.327,0.285,Normal,prophet,prophet,27,ok
Gujarat,Kheda,Whole Year,26.767,920.58,-0.915,0.285,Normal,prophet,prophet,26,ok
Gujarat,Kheda,Winter,21.101,12.55,-0.713,0.25,Normal,prophet,prophet,26,ok
Gujarat,Kutch,Autumn,26.789,392.53,-0.759,0.369,Normal,prophet,prophet,26,ok
Gujarat,Kutch,Kharif,28.903,703.18,-1.186,0.523,Cooler than normal,prophet,prophet,26,ok
Gujarat,Kutch,Rabi,23.727,35.03,0.482,0.297,Normal,prophet,prophet,26,ok
Gujarat,Kutch,Summer,31.325,129.46,0.336,0.282,Normal,prophet,prophet,27,ok
Gujarat,Kutch,Whole Year,27.18,736.68,0.119,0.549,Normal,prophet,prophet,26,ok
Gujarat,Kutch,Winter,21.569,6.83,0.295,0.019,Normal,prophet,prophet,26,ok
Gujarat,Mahisagar,Autumn,24.906,559.97,-1.254,0.299,Cooler than normal,prophet,prophet,26,ok
Gujarat,Mahisagar,Kharif,27.535,1031.95,-1.068,0.59,Cooler than normal,prophet,prophet,26,ok
Gujarat,Mahisagar,Rabi,23.258,68.42,-0.127,0.537,Normal,prophet,prophet,26,ok
Gujarat,Mahisagar,Summer,32.025,175.22,0.276,0.264,Normal,prophet,prophet,27,ok
Gujarat,Mahisagar,Whole Year,26.462,1122.53,-0.743,0.826,Normal,prophet,prophet,26,ok
Gujarat,Mahisagar,Winter,21.233,15.09,-0.439,0.299,Normal,prophet,prophet,26,ok
Gujarat,Mehsana,Autumn,25.66,482.33,-1.088,0.322,Cooler than normal,prophet,prophet,26,ok
Gujarat,Mehsana,Kharif,28.267,847.05,-1.24,0.384,Cooler than normal,prophet,prophet,26,ok
Gujarat,Mehsana,Rabi,23.383,50.12,-0.018,0.44,Normal,prophet,prophet,26,ok
Gujarat,Mehsana,Summer,32.297,143.95,0.201,0.27,Normal,prophet,prophet,27,ok
Gujarat,Mehsana,Whole Year,26.781,895.0,-0.889,0.432,Normal,prophet,prophet,26,ok
Gujarat,Mehsana,Winter,21.283,13.72,-0.28,0.233,Normal,prophet,prophet,26,ok
Gujarat,Morbi,Autumn,26.758,439.63,-0.557,0.302,Normal,prophet,prophet,26,ok
Gujarat,Morbi,Kharif,28.8,788.85,-1.088,0.418,Cooler than normal,prophet,prophet,26,ok
Gujarat,Morbi,Rabi,23.864,42.97,0.377,0.374,Normal,prophet,prophet,26,ok
Gujarat,Morbi,Summer,31.385,150.96,0.334,0.208,Normal,prophet,prophet,27,ok
Gujarat,Morbi,Whole Year,27.212,823.1,0.172,0.456,Normal,prophet,prophet,26,ok
Gujarat,Morbi,Winter,21.745,6.91,0.17,-0.039,Normal,prophet,prophet,26,ok
Gujarat,Narmada,Autumn,24.627,646.97,-1.093,0.12,Cooler than normal,prophet,prophet,26,ok
Gujarat,Narmada,Kharif,26.844,1267.51,-0.409,0.163,Normal,prophet,prophet,26,ok
Gujarat,Narmada,Rabi,24.328,87.9,0.013,0.333,Normal,prophet,prophet,26,ok
Gujarat,Narmada,Summer,31.252,178.82,0.806,-0.362,Normal,prophet,prophet,27,ok
Gujarat,Narmada,Whole Year,26.586,1369.16,-0.13,0.371,Normal,prophet,prophet,26,ok
Gujarat,Narmada,Winter,22.767,22.38,-0.232,0.205,Normal,prophet,prophet,26,ok
Gujarat,Navsari,Autumn,25.638,764.55,-0.845,0.017,Normal,prophet,prophet,26,ok
Gujarat,Navsari,Kharif,27.482,1679.17,-0.263,0.321,Normal,prophet,prophet,26,ok
Gujarat,Navsari,Rabi,25.244,101.01,0.016,0.334,Normal,prophet,prophet,26,ok
Gujarat,Navsari,Summer,31.386,235.66,1.165,-0.397,Hotter than normal,prophet,prophet,27,ok
Gujarat,Navsari,Whole Year,27.225,1771.85,0.015,0.479,Normal,prophet,prophet,26,ok
Gujarat,Navsari,Winter,23.781,24.14,-0.296,0.092,Normal,prophet,prophet,26,ok
Gujarat,Panchmahal,Autumn,25.045,615.65,-1.172,0.254,Cooler than normal,prophet,prophet,26,ok
Gujarat,Panchmahal,Kharif,27.479,1136.98,-0.97,0.409,Normal,prophet,prophet,26,ok
Gujarat,Panchmahal,Rabi,23.836,78.02,-0.155,0.519,Normal,prophet,prophet,26,ok
